time,SOC_true,voltage,current
3309,0.9333333333333629,3.3674298146026547,0.0
3310,0.9333333333333629,3.3674298146026547,0.0
3311,0.9333333333333629,3.3674298146026547,0.0
3312,0.9333333333333629,3.3674298146026547,0.0
3313,0.9333333333333629,3.3674298146026547,0.0
3314,0.9333333333333629,3.3674298146026547,0.0
3315,0.9333333333333629,3.3674298146026547,0.0
3316,0.9333333333333629,3.3674298146026547,0.0
3317,0.9333333333333629,3.3674298146026547,0.0
3318,0.9333333333333629,3.3674298146026547,0.0
3319,0.9333333333333629,3.3674298146026547,0.0
3320,0.9333333333333629,3.3674298146026547,0.0
3321,0.9333333333333629,3.3674298146026547,0.0
3322,0.9333333333333629,3.3674298146026547,0.0
3323,0.9333333333333629,3.3674298146026547,0.0
3324,0.9333333333333629,3.3674298146026547,0.0
3325,0.9333333333333629,3.3674298146026547,0.0
3326,0.9333333333333629,3.3674298146026547,0.0
3327,0.9333333333333629,3.3674298146026547,0.0
3328,0.9333333333333629,3.3674298146026547,0.0
3329,0.9333333333333629,3.3674298146026547,0.0
3330,0.9333333333333629,3.3674298146026547,0.0
3331,0.9333333333333629,3.3674298146026547,0.0
3332,0.9333333333333629,3.3674298146026547,0.0
3333,0.9333333333333629,3.3674298146026547,0.0
3334,0.9333333333333629,3.3674298146026547,0.0
3335,0.9333333333333629,3.3674298146026547,0.0
3336,0.9333333333333629,3.3674298146026547,0.0
3337,0.9333333333333629,3.3674298146026547,0.0
3338,0.9333333333333629,3.3674298146026547,0.0
3339,0.9333333333333629,3.3674298146026547,0.0
3340,0.9333333333333629,3.3674298146026547,0.0
3341,0.9333333333333629,3.3674298146026547,0.0
3342,0.9333333333333629,3.3674298146026547,0.0
3343,0.9333333333333629,3.3674298146026547,0.0
3344,0.9333333333333629,3.3674298146026547,0.0
3345,0.9333333333333629,3.3674298146026547,0.0
3346,0.9333333333333629,3.3674298146026547,0.0
3347,0.9333333333333629,3.3674298146026547,0.0
3348,0.9333333333333629,3.3674298146026547,0.0
3349,0.9333333333333629,3.3674298146026547,0.0
3350,0.9333333333333629,3.3674298146026547,0.0
3351,0.9333333333333629,3.3674298146026547,0.0
3352,0.9333333333333629,3.3674298146026547,0.0
3353,0.9333333333333629,3.3674298146026547,0.0
3354,0.9333333333333629,3.3674298146026547,0.0
3355,0.9333333333333629,3.3674298146026547,0.0
3356,0.9333333333333629,3.3674298146026547,0.0
3357,0.9333333333333629,3.3674298146026547,0.0
3358,0.9333333333333629,3.3674298146026547,0.0
3359,0.9333333333333629,3.3674298146026547,0.0
3360,0.9333333333333629,3.3674298146026547,0.0
3361,0.9333333333333629,3.3674298146026547,0.0
3362,0.9333333333333629,3.3674298146026547,0.0
3363,0.9333333333333629,3.3674298146026547,0.0
3364,0.9333333333333629,3.3674298146026547,0.0
3365,0.9333333333333629,3.3674298146026547,0.0
3366,0.9333333333333629,3.3674298146026547,0.0
3367,0.9333333333333629,3.3674298146026547,0.0
3368,0.9333333333333629,3.3674298146026547,0.0
3369,0.9333333333333629,3.3674298146026547,0.0
3370,0.9333333333333629,3.3674298146026547,0.0
3371,0.9333333333333629,3.3674298146026547,0.0
3372,0.9333333333333629,3.3674298146026547,0.0
3373,0.9333333333333629,3.3674298146026547,0.0
3374,0.9333333333333629,3.3674298146026547,0.0
3375,0.9333333333333629,3.3674298146026547,0.0
3376,0.9333333333333629,3.3674298146026547,0.0
3377,0.9333333333333629,3.3674298146026547,0.0
3378,0.9333333333333629,3.3674298146026547,0.0
3379,0.9333333333333629,3.3674298146026547,0.0
3380,0.9333333333333629,3.3674298146026547,0.0
3381,0.9333333333333629,3.3674298146026547,0.0
3382,0.9333333333333629,3.3674298146026547,0.0
3383,0.9333333333333629,3.3674298146026547,0.0
3384,0.9333333333333629,3.3674298146026547,0.0
3385,0.9333333333333629,3.3674298146026547,0.0
3386,0.9333333333333629,3.3674298146026547,0.0
3387,0.9333333333333629,3.3674298146026547,0.0
3388,0.9333333333333629,3.3674298146026547,0.0
3389,0.9333333333333629,3.3674298146026547,0.0
3390,0.9333333333333629,3.3674298146026547,0.0
3391,0.9333333333333629,3.3674298146026547,0.0
3392,0.9333333333333629,3.3674298146026547,0.0
3393,0.9333333333333629,3.3674298146026547,0.0
3394,0.9333333333333629,3.3674298146026547,0.0
3395,0.9333333333333629,3.3674298146026547,0.0
3396,0.9333333333333629,3.3674298146026547,0.0
3397,0.9333333333333629,3.3674298146026547,0.0
3398,0.9333333333333629,3.3674298146026547,0.0
3399,0.9333333333333629,3.3674298146026547,0.0
3400,0.9333333333333629,3.3674298146026547,0.0
3401,0.9333333333333629,3.3674298146026547,0.0
3402,0.9333333333333629,3.3674298146026547,0.0
3403,0.9333333333333629,3.3674298146026547,0.0
3404,0.9333333333333629,3.3674298146026547,0.0
3405,0.9333333333333629,3.3674298146026547,0.0
3406,0.9333333333333629,3.3674298146026547,0.0
3407,0.9333333333333629,3.3674298146026547,0.0
3408,0.9333333333333629,3.3674298146026547,0.0
3409,0.9333333333333629,3.3674298146026547,0.0
3410,0.9333333333333629,3.3674298146026547,0.0
3411,0.9333333333333629,3.3674298146026547,0.0
3412,0.9333333333333629,3.3674298146026547,0.0
3413,0.9333333333333629,3.3674298146026547,0.0
3414,0.9333333333333629,3.3674298146026547,0.0
3415,0.9333333333333629,3.3674298146026547,0.0
3416,0.9333333333333629,3.3674298146026547,0.0
3417,0.9333333333333629,3.3674298146026547,0.0
3418,0.9333333333333629,3.3674298146026547,0.0
3419,0.9333333333333629,3.3674298146026547,0.0
3420,0.9333333333333629,3.3674298146026547,0.0
3421,0.9333333333333629,3.3674298146026547,0.0
3422,0.9333333333333629,3.3674298146026547,0.0
3423,0.9333333333333629,3.3674298146026547,0.0
3424,0.9333333333333629,3.3674298146026547,0.0
3425,0.9333333333333629,3.3674298146026547,0.0
3426,0.9333333333333629,3.3674298146026547,0.0
3427,0.9333333333333629,3.3674298146026547,0.0
3428,0.9333333333333629,3.3674298146026547,0.0
3429,0.9333333333333629,3.3674298146026547,0.0
3430,0.9333333333333629,3.3674298146026547,0.0
3431,0.9333333333333629,3.3674298146026547,0.0
3432,0.9333333333333629,3.3674298146026547,0.0
3433,0.9333333333333629,3.3674298146026547,0.0
3434,0.9333333333333629,3.3674298146026547,0.0
3435,0.9333333333333629,3.3674298146026547,0.0
3436,0.9333333333333629,3.3674298146026547,0.0
3437,0.9333333333333629,3.3674298146026547,0.0
3438,0.9333333333333629,3.3674298146026547,0.0
3439,0.9333333333333629,3.3674298146026547,0.0
3440,0.9333333333333629,3.3674298146026547,0.0
3441,0.9333333333333629,3.3674298146026547,0.0
3442,0.9333333333333629,3.3674298146026547,0.0
3443,0.9333333333333629,3.3674298146026547,0.0
3444,0.9333333333333629,3.3674298146026547,0.0
3445,0.9333333333333629,3.3674298146026547,0.0
3446,0.9333333333333629,3.3674298146026547,0.0
3447,0.9333333333333629,3.3674298146026547,0.0
3448,0.9333333333333629,3.3674298146026547,0.0
3449,0.9333333333333629,3.3674298146026547,0.0
3450,0.9333333333333629,3.3674298146026547,0.0
3451,0.9333333333333629,3.3674298146026547,0.0
3452,0.9333333333333629,3.3674298146026547,0.0
3453,0.9333333333333629,3.3674298146026547,0.0
3454,0.9333333333333629,3.3674298146026547,0.0
3455,0.9333333333333629,3.3674298146026547,0.0
3456,0.9333333333333629,3.3674298146026547,0.0
3457,0.9333333333333629,3.3674298146026547,0.0
3458,0.9333333333333629,3.3674298146026547,0.0
3459,0.9333333333333629,3.3674298146026547,0.0
3460,0.9333333333333629,3.3674298146026547,0.0
3461,0.9333333333333629,3.3674298146026547,0.0
3462,0.9333333333333629,3.3674298146026547,0.0
3463,0.9333333333333629,3.3674298146026547,0.0
3464,0.9333333333333629,3.3674298146026547,0.0
3465,0.9333333333333629,3.3674298146026547,0.0
3466,0.9333333333333629,3.3674298146026547,0.0
3467,0.9333333333333629,3.3674298146026547,0.0
3468,0.9333333333333629,3.3674298146026547,0.0
3469,0.9333333333333629,3.3674298146026547,0.0
3470,0.9333333333333629,3.3674298146026547,0.0
3471,0.9333333333333629,3.3674298146026547,0.0
3472,0.9333333333333629,3.3674298146026547,0.0
3473,0.9333333333333629,3.3674298146026547,0.0
3474,0.9333333333333629,3.3674298146026547,0.0
3475,0.9333333333333629,3.3674298146026547,0.0
3476,0.9333333333333629,3.3674298146026547,0.0
3477,0.9333333333333629,3.3674298146026547,0.0
3478,0.9333333333333629,3.3674298146026547,0.0
3479,0.9333333333333629,3.3674298146026547,0.0
3480,0.9333333333333629,3.3674298146026547,0.0
3481,0.9333333333333629,3.3674298146026547,0.0
3482,0.9333333333333629,3.3674298146026547,0.0
3483,0.9333333333333629,3.3674298146026547,0.0
3484,0.9333333333333629,3.3674298146026547,0.0
3485,0.9333333333333629,3.3674298146026547,0.0
3486,0.9333333333333629,3.3674298146026547,0.0
3487,0.9333333333333629,3.3674298146026547,0.0
3488,0.9333333333333629,3.3674298146026547,0.0
3489,0.9333333333333629,3.3674298146026547,0.0
3490,0.9333333333333629,3.3674298146026547,0.0
3491,0.9333333333333629,3.3674298146026547,0.0
3492,0.9333333333333629,3.3674298146026547,0.0
3493,0.9333333333333629,3.3674298146026547,0.0
3494,0.9333333333333629,3.3674298146026547,0.0
3495,0.9333333333333629,3.3674298146026547,0.0
3496,0.9333333333333629,3.3674298146026547,0.0
3497,0.9333333333333629,3.3674298146026547,0.0
3498,0.9333333333333629,3.3674298146026547,0.0
3499,0.9333333333333629,3.3674298146026547,0.0
3500,0.9333333333333629,3.3674298146026547,0.0
3501,0.9333333333333629,3.3674298146026547,0.0
3502,0.9333333333333629,3.3674298146026547,0.0
3503,0.9333333333333629,3.3674298146026547,0.0
3504,0.9333333333333629,3.3674298146026547,0.0
3505,0.9333333333333629,3.3674298146026547,0.0
3506,0.9333333333333629,3.3674298146026547,0.0
3507,0.9333333333333629,3.3674298146026547,0.0
3508,0.9333333333333629,3.3674298146026547,0.0
3509,0.9333333333333629,3.3674298146026547,0.0
3510,0.9333333333333629,3.3674298146026547,0.0
3511,0.9333333333333629,3.3674298146026547,0.0
3512,0.9333333333333629,3.3674298146026547,0.0
3513,0.9333333333333629,3.3674298146026547,0.0
3514,0.9333333333333629,3.3674298146026547,0.0
3515,0.9333333333333629,3.3674298146026547,0.0
3516,0.9333333333333629,3.3674298146026547,0.0
3517,0.9333333333333629,3.3674298146026547,0.0
3518,0.9333333333333629,3.3674298146026547,0.0
3519,0.9333333333333629,3.3674298146026547,0.0
3520,0.9333333333333629,3.3674298146026547,0.0
3521,0.9333333333333629,3.3674298146026547,0.0
3522,0.9333333333333629,3.3674298146026547,0.0
3523,0.9333333333333629,3.3674298146026547,0.0
3524,0.9333333333333629,3.3674298146026547,0.0
3525,0.9333333333333629,3.3674298146026547,0.0
3526,0.9333333333333629,3.3674298146026547,0.0
3527,0.9333333333333629,3.3674298146026547,0.0
3528,0.9333333333333629,3.3674298146026547,0.0
3529,0.9333333333333629,3.3674298146026547,0.0
3530,0.9333333333333629,3.3674298146026547,0.0
3531,0.9333333333333629,3.3674298146026547,0.0
3532,0.9333333333333629,3.3674298146026547,0.0
3533,0.9333333333333629,3.3674298146026547,0.0
3534,0.9333333333333629,3.3674298146026547,0.0
3535,0.9333333333333629,3.3674298146026547,0.0
3536,0.9333333333333629,3.3674298146026547,0.0
3537,0.9333333333333629,3.3674298146026547,0.0
3538,0.9333333333333629,3.3674298146026547,0.0
3539,0.9333333333333629,3.3674298146026547,0.0
3540,0.9333333333333629,3.3674298146026547,0.0
3541,0.9333333333333629,3.3674298146026547,0.0
3542,0.9333333333333629,3.3674298146026547,0.0
3543,0.9333333333333629,3.3674298146026547,0.0
3544,0.9333333333333629,3.3674298146026547,0.0
3545,0.9333333333333629,3.3674298146026547,0.0
3546,0.9333333333333629,3.3674298146026547,0.0
3547,0.9333333333333629,3.3674298146026547,0.0
3548,0.9333333333333629,3.3674298146026547,0.0
3549,0.9333333333333629,3.3674298146026547,0.0
3550,0.9333333333333629,3.3674298146026547,0.0
3551,0.9333333333333629,3.3674298146026547,0.0
3552,0.9333333333333629,3.3674298146026547,0.0
3553,0.9333333333333629,3.3674298146026547,0.0
3554,0.9333333333333629,3.3674298146026547,0.0
3555,0.9333333333333629,3.3674298146026547,0.0
3556,0.9333333333333629,3.3674298146026547,0.0
3557,0.9333333333333629,3.3674298146026547,0.0
3558,0.9333333333333629,3.3674298146026547,0.0
3559,0.9333333333333629,3.3674298146026547,0.0
3560,0.9333333333333629,3.3674298146026547,0.0
3561,0.9333333333333629,3.3674298146026547,0.0
3562,0.9333333333333629,3.3674298146026547,0.0
3563,0.9333333333333629,3.3674298146026547,0.0
3564,0.9333333333333629,3.3674298146026547,0.0
3565,0.9333333333333629,3.3674298146026547,0.0
3566,0.9333333333333629,3.3674298146026547,0.0
3567,0.9333333333333629,3.3674298146026547,0.0
3568,0.9333333333333629,3.3674298146026547,0.0
3569,0.9333333333333629,3.3674298146026547,0.0
3570,0.9333333333333629,3.3674298146026547,0.0
3571,0.9333333333333629,3.3674298146026547,0.0
3572,0.9333333333333629,3.3674298146026547,0.0
3573,0.9333333333333629,3.3674298146026547,0.0
3574,0.9333333333333629,3.3674298146026547,0.0
3575,0.9333333333333629,3.3674298146026547,0.0
3576,0.9333333333333629,3.3674298146026547,0.0
3577,0.9333333333333629,3.3674298146026547,0.0
3578,0.9333333333333629,3.3674298146026547,0.0
3579,0.9333333333333629,3.3674298146026547,0.0
3580,0.9333333333333629,3.3674298146026547,0.0
3581,0.9333333333333629,3.3674298146026547,0.0
3582,0.9333333333333629,3.3674298146026547,0.0
3583,0.9333333333333629,3.3674298146026547,0.0
3584,0.9333333333333629,3.3674298146026547,0.0
3585,0.9333333333333629,3.3674298146026547,0.0
3586,0.9333333333333629,3.3674298146026547,0.0
3587,0.9333333333333629,3.3674298146026547,0.0
3588,0.9333333333333629,3.3674298146026547,0.0
3589,0.9333333333333629,3.3674298146026547,0.0
3590,0.9333333333333629,3.3674298146026547,0.0
3591,0.9333333333333629,3.3674298146026547,0.0
3592,0.9333333333333629,3.3674298146026547,0.0
3593,0.9333333333333629,3.3674298146026547,0.0
3594,0.9333333333333629,3.3674298146026547,0.0
3595,0.9333333333333629,3.3674298146026547,0.0
3596,0.9333333333333629,3.3674298146026547,0.0
3597,0.9333333333333629,3.3674298146026547,0.0
3598,0.9333333333333629,3.3674298146026547,0.0
3599,0.9333333333333629,3.3674298146026547,0.0
3600,0.9333333333333629,3.3674298146026547,0.0
3601,0.9333333333333629,3.3674298146026547,0.0
3602,0.9333333333333629,3.3674298146026547,0.0
3603,0.9333333333333629,3.3674298146026547,0.0
3604,0.9333333333333629,3.3674298146026547,0.0
3605,0.9333333333333629,3.3674298146026547,0.0
3606,0.9333333333333629,3.3674298146026547,0.0
3607,0.9333333333333629,3.3674298146026547,0.0
3608,0.9333333333333629,3.3674298146026547,0.0
3609,0.9333333333333629,3.3674298146026547,0.0
3610,0.9333333333333629,3.3674298146026547,0.0
3611,0.9333333333333629,3.3674298146026547,0.0
3612,0.9333333333333629,3.3674298146026547,0.0
3613,0.9333333333333629,3.3674298146026547,0.0
3614,0.9333333333333629,3.3674298146026547,0.0
3615,0.9333333333333629,3.3674298146026547,0.0
3616,0.9333333333333629,3.3674298146026547,0.0
3617,0.9333333333333629,3.3674298146026547,0.0
3618,0.9333333333333629,3.3674298146026547,0.0
3619,0.9333333333333629,3.3674298146026547,0.0
3620,0.9333333333333629,3.3674298146026547,0.0
3621,0.9333333333333629,3.3674298146026547,0.0
3622,0.9333333333333629,3.3674298146026547,0.0
3623,0.9333333333333629,3.3674298146026547,0.0
3624,0.9333333333333629,3.3674298146026547,0.0
3625,0.9333333333333629,3.3674298146026547,0.0
3626,0.9333333333333629,3.3674298146026547,0.0
3627,0.9333333333333629,3.3674298146026547,0.0
3628,0.9333333333333629,3.3674298146026547,0.0
3629,0.9333333333333629,3.3674298146026547,0.0
3630,0.9333333333333629,3.3674298146026547,0.0
3631,0.9333333333333629,3.3674298146026547,0.0
3632,0.9333333333333629,3.3674298146026547,0.0
3633,0.9333333333333629,3.3674298146026547,0.0
3634,0.9333333333333629,3.3674298146026547,0.0
3635,0.9333333333333629,3.3674298146026547,0.0
3636,0.9333333333333629,3.3674298146026547,0.0
3637,0.9333333333333629,3.3674298146026547,0.0
3638,0.9333333333333629,3.3674298146026547,0.0
3639,0.9333333333333629,3.3674298146026547,0.0
3640,0.9333333333333629,3.3674298146026547,0.0
3641,0.9333333333333629,3.3674298146026547,0.0
3642,0.9333333333333629,3.3674298146026547,0.0
3643,0.9333333333333629,3.3674298146026547,0.0
3644,0.9333333333333629,3.3674298146026547,0.0
3645,0.9333333333333629,3.3674298146026547,0.0
3646,0.9333333333333629,3.3674298146026547,0.0
3647,0.9333333333333629,3.3674298146026547,0.0
3648,0.9333333333333629,3.3674298146026547,0.0
3649,0.9333333333333629,3.3674298146026547,0.0
3650,0.9333333333333629,3.3674298146026547,0.0
3651,0.9333333333333629,3.3674298146026547,0.0
3652,0.9333333333333629,3.3674298146026547,0.0
3653,0.9333333333333629,3.3674298146026547,0.0
3654,0.9333333333333629,3.3674298146026547,0.0
3655,0.9333333333333629,3.3674298146026547,0.0
3656,0.9333333333333629,3.3674298146026547,0.0
3657,0.9333333333333629,3.3674298146026547,0.0
3658,0.9333333333333629,3.3674298146026547,0.0
3659,0.9333333333333629,3.3674298146026547,0.0
3660,0.9333333333333629,3.3674298146026547,0.0
3661,0.9333333333333629,3.3674298146026547,0.0
3662,0.9333333333333629,3.3674298146026547,0.0
3663,0.9333333333333629,3.3674298146026547,0.0
3664,0.9333333333333629,3.3674298146026547,0.0
3665,0.9333333333333629,3.3674298146026547,0.0
3666,0.9333333333333629,3.3674298146026547,0.0
3667,0.9333333333333629,3.3674298146026547,0.0
3668,0.9333333333333629,3.3674298146026547,0.0
3669,0.9333333333333629,3.3674298146026547,0.0
3670,0.9333333333333629,3.3674298146026547,0.0
3671,0.9333333333333629,3.3674298146026547,0.0
3672,0.9333333333333629,3.3674298146026547,0.0
3673,0.9333333333333629,3.3674298146026547,0.0
3674,0.9333333333333629,3.3674298146026547,0.0
3675,0.9333333333333629,3.3674298146026547,0.0
3676,0.9333333333333629,3.3674298146026547,0.0
3677,0.9333333333333629,3.3674298146026547,0.0
3678,0.9333333333333629,3.3674298146026547,0.0
3679,0.9333333333333629,3.3674298146026547,0.0
3680,0.9333333333333629,3.3674298146026547,0.0
3681,0.9333333333333629,3.3674298146026547,0.0
3682,0.9333333333333629,3.3674298146026547,0.0
3683,0.9333333333333629,3.3674298146026547,0.0
3684,0.9333333333333629,3.3674298146026547,0.0
3685,0.9333333333333629,3.3674298146026547,0.0
3686,0.9333333333333629,3.3674298146026547,0.0
3687,0.9333333333333629,3.3674298146026547,0.0
3688,0.9333333333333629,3.3674298146026547,0.0
3689,0.9333333333333629,3.3674298146026547,0.0
3690,0.9333333333333629,3.3674298146026547,0.0
3691,0.9333333333333629,3.3674298146026547,0.0
3692,0.9333333333333629,3.3674298146026547,0.0
3693,0.9333333333333629,3.3674298146026547,0.0
3694,0.9333333333333629,3.3674298146026547,0.0
3695,0.9333333333333629,3.3674298146026547,0.0
3696,0.9333333333333629,3.3674298146026547,0.0
3697,0.9333333333333629,3.3674298146026547,0.0
3698,0.9333333333333629,3.3674298146026547,0.0
3699,0.9333333333333629,3.3674298146026547,0.0
3700,0.9333333333333629,3.3674298146026547,0.0
3701,0.9333333333333629,3.3674298146026547,0.0
3702,0.9333333333333629,3.3674298146026547,0.0
3703,0.9333333333333629,3.3674298146026547,0.0
3704,0.9333333333333629,3.3674298146026547,0.0
3705,0.9333333333333629,3.3674298146026547,0.0
3706,0.9333333333333629,3.3674298146026547,0.0
3707,0.9333333333333629,3.3674298146026547,0.0
3708,0.9333333333333629,3.3674298146026547,0.0
3709,0.9333333333333629,3.3674298146026547,0.0
3710,0.9333333333333629,3.3674298146026547,0.0
3711,0.9333333333333629,3.3674298146026547,0.0
3712,0.9333333333333629,3.3674298146026547,0.0
3713,0.9333333333333629,3.3674298146026547,0.0
3714,0.9333333333333629,3.3674298146026547,0.0
3715,0.9333333333333629,3.3674298146026547,0.0
3716,0.9333333333333629,3.3674298146026547,0.0
3717,0.9333333333333629,3.3674298146026547,0.0
3718,0.9333333333333629,3.3674298146026547,0.0
3719,0.9333333333333629,3.3674298146026547,0.0
3720,0.9333333333333629,3.3674298146026547,0.0
3721,0.9333333333333629,3.3674298146026547,0.0
3722,0.9333333333333629,3.3674298146026547,0.0
3723,0.9333333333333629,3.3674298146026547,0.0
3724,0.9333333333333629,3.3674298146026547,0.0
3725,0.9333333333333629,3.3674298146026547,0.0
3726,0.9333333333333629,3.3674298146026547,0.0
3727,0.9333333333333629,3.3674298146026547,0.0
3728,0.9333333333333629,3.3674298146026547,0.0
3729,0.9333333333333629,3.3674298146026547,0.0
3730,0.9333333333333629,3.3674298146026547,0.0
3731,0.9333333333333629,3.3674298146026547,0.0
3732,0.9333333333333629,3.3674298146026547,0.0
3733,0.9333333333333629,3.3674298146026547,0.0
3734,0.9333333333333629,3.3674298146026547,0.0
3735,0.9333333333333629,3.3674298146026547,0.0
3736,0.9333333333333629,3.3674298146026547,0.0
3737,0.9333333333333629,3.3674298146026547,0.0
3738,0.9333333333333629,3.3674298146026547,0.0
3739,0.9333333333333629,3.3674298146026547,0.0
3740,0.9333333333333629,3.3674298146026547,0.0
3741,0.9333333333333629,3.3674298146026547,0.0
3742,0.9333333333333629,3.3674298146026547,0.0
3743,0.9333333333333629,3.3674298146026547,0.0
3744,0.9333333333333629,3.3674298146026547,0.0
3745,0.9333333333333629,3.3674298146026547,0.0
3746,0.9333333333333629,3.3674298146026547,0.0
3747,0.9333333333333629,3.3674298146026547,0.0
3748,0.9333333333333629,3.3674298146026547,0.0
3749,0.9333333333333629,3.3674298146026547,0.0
3750,0.9333333333333629,3.3674298146026547,0.0
3751,0.9333333333333629,3.3674298146026547,0.0
3752,0.9333333333333629,3.3674298146026547,0.0
3753,0.9333333333333629,3.3674298146026547,0.0
3754,0.9333333333333629,3.3674298146026547,0.0
3755,0.9333333333333629,3.3674298146026547,0.0
3756,0.9333333333333629,3.3674298146026547,0.0
3757,0.9333333333333629,3.3674298146026547,0.0
3758,0.9333333333333629,3.3674298146026547,0.0
3759,0.9333333333333629,3.3674298146026547,0.0
3760,0.9333333333333629,3.3674298146026547,0.0
3761,0.9333333333333629,3.3674298146026547,0.0
3762,0.9333333333333629,3.3674298146026547,0.0
3763,0.9333333333333629,3.3674298146026547,0.0
3764,0.9333333333333629,3.3674298146026547,0.0
3765,0.9333333333333629,3.3674298146026547,0.0
3766,0.9333333333333629,3.3674298146026547,0.0
3767,0.9333333333333629,3.3674298146026547,0.0
3768,0.9333333333333629,3.3674298146026547,0.0
3769,0.9333333333333629,3.3674298146026547,0.0
3770,0.9333333333333629,3.3674298146026547,0.0
3771,0.9333333333333629,3.3674298146026547,0.0
3772,0.9333333333333629,3.3674298146026547,0.0
3773,0.9333333333333629,3.3674298146026547,0.0
3774,0.9333333333333629,3.3674298146026547,0.0
3775,0.9333333333333629,3.3674298146026547,0.0
3776,0.9333333333333629,3.3674298146026547,0.0
3777,0.9333333333333629,3.3674298146026547,0.0
3778,0.9333333333333629,3.3674298146026547,0.0
3779,0.9333333333333629,3.3674298146026547,0.0
3780,0.9333333333333629,3.3674298146026547,0.0
3781,0.9333333333333629,3.3674298146026547,0.0
3782,0.9333333333333629,3.3674298146026547,0.0
3783,0.9333333333333629,3.3674298146026547,0.0
3784,0.9333333333333629,3.3674298146026547,0.0
3785,0.9333333333333629,3.3674298146026547,0.0
3786,0.9333333333333629,3.3674298146026547,0.0
3787,0.9333333333333629,3.3674298146026547,0.0
3788,0.9333333333333629,3.3674298146026547,0.0
3789,0.9333333333333629,3.3674298146026547,0.0
3790,0.9333333333333629,3.3674298146026547,0.0
3791,0.9333333333333629,3.3674298146026547,0.0
3792,0.9333333333333629,3.3674298146026547,0.0
3793,0.9333333333333629,3.3674298146026547,0.0
3794,0.9333333333333629,3.3674298146026547,0.0
3795,0.9333333333333629,3.3674298146026547,0.0
3796,0.9333333333333629,3.3674298146026547,0.0
3797,0.9333333333333629,3.3674298146026547,0.0
3798,0.9333333333333629,3.3674298146026547,0.0
3799,0.9333333333333629,3.3674298146026547,0.0
3800,0.9333333333333629,3.3674298146026547,0.0
3801,0.9333333333333629,3.3674298146026547,0.0
3802,0.9333333333333629,3.3674298146026547,0.0
3803,0.9333333333333629,3.3674298146026547,0.0
3804,0.9333333333333629,3.3674298146026547,0.0
3805,0.9333333333333629,3.3674298146026547,0.0
3806,0.9333333333333629,3.3674298146026547,0.0
3807,0.9333333333333629,3.3674298146026547,0.0
3808,0.9333333333333629,3.3674298146026547,0.0
3809,0.9333333333333629,3.3674298146026547,0.0
3810,0.9333333333333629,3.3674298146026547,0.0
3811,0.9333333333333629,3.3674298146026547,0.0
3812,0.9333333333333629,3.3674298146026547,0.0
3813,0.9333333333333629,3.3674298146026547,0.0
3814,0.9333333333333629,3.3674298146026547,0.0
3815,0.9333333333333629,3.3674298146026547,0.0
3816,0.9333333333333629,3.3674298146026547,0.0
3817,0.9333333333333629,3.3674298146026547,0.0
3818,0.9333333333333629,3.3674298146026547,0.0
3819,0.9333333333333629,3.3674298146026547,0.0
3820,0.9333333333333629,3.3674298146026547,0.0
3821,0.9333333333333629,3.3674298146026547,0.0
3822,0.9333333333333629,3.3674298146026547,0.0
3823,0.9333333333333629,3.3674298146026547,0.0
3824,0.9333333333333629,3.3674298146026547,0.0
3825,0.9333333333333629,3.3674298146026547,0.0
3826,0.9333333333333629,3.3674298146026547,0.0
3827,0.9333333333333629,3.3674298146026547,0.0
3828,0.9333333333333629,3.3674298146026547,0.0
3829,0.9333333333333629,3.3674298146026547,0.0
3830,0.9333333333333629,3.3674298146026547,0.0
3831,0.9333333333333629,3.3674298146026547,0.0
3832,0.9333333333333629,3.3674298146026547,0.0
3833,0.9333333333333629,3.3674298146026547,0.0
3834,0.9333333333333629,3.3674298146026547,0.0
3835,0.9333333333333629,3.3674298146026547,0.0
3836,0.9333333333333629,3.3674298146026547,0.0
3837,0.9333333333333629,3.3674298146026547,0.0
3838,0.9333333333333629,3.3674298146026547,0.0
3839,0.9333333333333629,3.3674298146026547,0.0
3840,0.9333333333333629,3.3674298146026547,0.0
3841,0.9333333333333629,3.3674298146026547,0.0
3842,0.9333333333333629,3.3674298146026547,0.0
3843,0.9333333333333629,3.3674298146026547,0.0
3844,0.9333333333333629,3.3674298146026547,0.0
3845,0.9333333333333629,3.3674298146026547,0.0
3846,0.9333333333333629,3.3674298146026547,0.0
3847,0.9333333333333629,3.3674298146026547,0.0
3848,0.9333333333333629,3.3674298146026547,0.0
3849,0.9333333333333629,3.3674298146026547,0.0
3850,0.9333333333333629,3.3674298146026547,0.0
3851,0.9333333333333629,3.3674298146026547,0.0
3852,0.9333333333333629,3.3674298146026547,0.0
3853,0.9333333333333629,3.3674298146026547,0.0
3854,0.9333333333333629,3.3674298146026547,0.0
3855,0.9333333333333629,3.3674298146026547,0.0
3856,0.9333333333333629,3.3674298146026547,0.0
3857,0.9333333333333629,3.3674298146026547,0.0
3858,0.9333333333333629,3.3674298146026547,0.0
3859,0.9333333333333629,3.3674298146026547,0.0
3860,0.9333333333333629,3.3674298146026547,0.0
3861,0.9333333333333629,3.3674298146026547,0.0
3862,0.9333333333333629,3.3674298146026547,0.0
3863,0.9333333333333629,3.3674298146026547,0.0
3864,0.9333333333333629,3.3674298146026547,0.0
3865,0.9333333333333629,3.3674298146026547,0.0
3866,0.9333333333333629,3.3674298146026547,0.0
3867,0.9333333333333629,3.3674298146026547,0.0
